id,rodada,mandante,visitante,placar,vencedor,estadio,visitante_estado,ano
1,1,Guarani,Vasco,4x2,Guarani, Brinco de Ouro,RJ,2003
2,1,Athletico-PR,Gremio,2x0,Athletico-PR, Arena da Baixada,RS,2003
3,1,Flamengo,Coritiba,1x1,Empate, Maracanã,PR,2003
4,1,Goias,Paysandu,2x2,Empate, Serra Dourada,PA,2003
5,1,Internacional,Ponte Preta,1x1,Empate, Beira Rio,SP,2003
6,1,Criciuma,Fluminense,2x0,Criciuma, Heriberto Hulse,RJ,2003
7,1,Juventude,Sao Paulo,2x2,Empate, Alfredo Jaconi,SP,2003
8,1,Fortaleza,Bahia,0x0,Empate, Castelão,BA,2003
9,1,Cruzeiro,Sao Caetano,2x2,Empate, Mineirão,SP,2003
10,1,Vitoria,Figueirense,1x1,Empate, Barradão,SC,2003
11,1,Santos,Parana,2x2,Empate, Vila Belmiro,PR,2003
12,1,Corinthians,Atletico-MG,0x3,Atletico-MG, Pacaembu,MG,2003
13,2,Fluminense,Fortaleza,1x1,Empate, Maracanã,CE,2003
14,2,Atletico-MG,Santos,0x0,Empate, Mineirão,SP,2003
15,2,Coritiba,Internacional,0x1,Internacional, Couto Pereira,RS,2003
16,2,Gremio,Guarani,3x1,Gremio, Olímpico,SP,2003
17,2,Bahia,Flamengo,1x2,Flamengo, Fonte Nova,RJ,2003
18,2,Figueirense,Corinthians,3x3,Empate, Orlando Scarpelli,SP,2003
19,2,Paysandu,Vitoria,1x2,Vitoria, Mangueirão,BA,2003
20,2,Ponte Preta,Juventude,1x0,Ponte Preta, Moisés Lucarelli,RS,2003
21,2,Parana,Athletico-PR,3x0,Parana, Pinheirão,PR,2003
22,2,Sao Caetano,Criciuma,3x2,Sao Caetano, Anacleto Campanella,SC,2003
23,2,Sao Paulo,Cruzeiro,2x4,Cruzeiro, Morumbi,MG,2003
24,2,Vasco,Goias,6x4,Vasco, São Januário,GO,2003
25,4,Paysandu,Santos,2x1,Paysandu, Mangueirão,SP,2003
37,3,Internacional,Bahia,2x0,Internacional, Beira Rio,BA,2003
38,3,Santos,Figueirense,2x0,Santos, Vila Belmiro,SC,2003
39,3,Athletico-PR,Atletico-MG,1x2,Atletico-MG, Arena da Baixada,MG,2003
40,3,Corinthians,Paysandu,6x1,Corinthians, Pacaembu,PA,2003
41,3,Vitoria,Vasco,2x1,Vitoria, Barradão,RJ,2003
42,3,Criciuma,Sao Paulo,1x1,Empate, Heriberto Hulse,SP,2003
43,3,Fortaleza,Sao Caetano,1x1,Empate, Presidente Vargas,SP,2003
44,3,Juventude,Coritiba,2x1,Juventude, Alfredo Jaconi,PR,2003
45,3,Guarani,Parana,2x0,Guarani, Brinco de Ouro,PR,2003
46,3,Goias,Gremio,1x1,Empate, Serra Dourada,RS,2003
47,3,Cruzeiro,Ponte Preta,3x0,Cruzeiro, Mineirão,SP,2003
48,3,Flamengo,Fluminense,4x1,Flamengo, Maracanã,RJ,2003
26,4,Bahia,Juventude,3x1,Bahia, Fonte Nova,RS,2003
27,4,Gremio,Vitoria,2x1,Gremio, Olímpico,BA,2003
28,4,Atletico-MG,Guarani,3x2,Atletico-MG, Mineirão,SP,2003
29,4,Figueirense,Athletico-PR,1x1,Empate, Orlando Scarpelli,PR,2003
30,4,Ponte Preta,Criciuma,1x1,Empate, Moisés Lucarelli,SC,2003
31,4,Sao Caetano,Flamengo,1x1,Empate, Anacleto Campanella,RJ,2003
32,4,Vasco,Corinthians,2x2,Empate, São Januário,SP,2003
33,4,Coritiba,Cruzeiro,3x4,Cruzeiro, Couto Pereira,MG,2003
34,4,Fluminense,Internacional,3x1,Fluminense, Maracanã,RS,2003
35,4,Sao Paulo,Fortaleza,3x1,Sao Paulo, Morumbi,CE,2003
36,4,Parana,Goias,3x1,Parana, Pinheirão,GO,2003
144,12,Flamengo,Cruzeiro,3x0,Flamengo, Maracanã,MG,2003
49,5,Bahia,Atletico-MG,2x4,Atletico-MG, Fonte Nova,MG,2003
50,5,Sao Caetano,Gremio,1x1,Empate, Anacleto Campanella,RS,2003
51,5,Flamengo,Santos,0x2,Santos, Maracanã,SP,2003
52,5,Sao Paulo,Vasco,3x1,Sao Paulo, Morumbi,RJ,2003
53,5,Internacional,Corinthians,2x1,Internacional, Beira Rio,SP,2003
54,5,Criciuma,Guarani,1x0,Criciuma, Heriberto Hulse,SP,2003
55,5,Juventude,Vitoria,1x1,Empate, Alfredo Jaconi,BA,2003
56,5,Fortaleza,Athletico-PR,1x0,Fortaleza, Presidente Vargas,PR,2003
57,5,Ponte Preta,Paysandu,4x4,Empate, Moisés Lucarelli,PA,2003
58,5,Cruzeiro,Goias,4x1,Cruzeiro, Mineirão,GO,2003
59,5,Fluminense,Parana,0x0,Empate, Maracanã,PR,2003
60,5,Coritiba,Figueirense,1x0,Coritiba, Couto Pereira,SC,2003
61,6,Atletico-MG,Coritiba,1x2,Coritiba, Mineirão,PR,2003
62,6,Parana,Bahia,3x1,Parana, Pinheirão,BA,2003
63,6,Vitoria,Internacional,0x3,Internacional, Barradão,RS,2003
64,6,Guarani,Cruzeiro,1x1,Empate, Brinco de Ouro,MG,2003
65,6,Corinthians,Flamengo,1x1,Empate, Pacaembu,RJ,2003
66,6,Goias,Juventude,7x0,Goias, Serra Dourada,RS,2003
67,6,Figueirense,Ponte Preta,0x0,Empate, Orlando Scarpelli,SP,2003
68,6,Santos,Fortaleza,4x0,Santos, Vila Belmiro,CE,2003
69,6,Gremio,Fluminense,0x1,Fluminense, Olímpico,RJ,2003
70,6,Athletico-PR,Criciuma,4x2,Athletico-PR, Arena da Baixada,SC,2003
71,6,Paysandu,Sao Paulo,5x2,Paysandu, Mangueirão,SP,2003
72,6,Vasco,Sao Caetano,1x0,Vasco, São Januário,SP,2003
73,7,Flamengo,Vitoria,2x1,Flamengo, Maracanã,BA,2003
74,7,Bahia,Gremio,2x1,Bahia, Fonte Nova,RS,2003
75,7,Cruzeiro,Athletico-PR,5x2,Cruzeiro, Mineirão,PR,2003
76,7,Fortaleza,Corinthians,1x2,Corinthians, Castelão,SP,2003
77,7,Sao Paulo,Figueirense,3x2,Sao Paulo, Morumbi,SC,2003
78,7,Sao Caetano,Paysandu,2x0,Sao Caetano, Anacleto Campanella,PA,2003
79,7,Internacional,Goias,2x1,Internacional, Beira Rio,GO,2003
80,7,Ponte Preta,Atletico-MG,2x1,Ponte Preta, Moisés Lucarelli,MG,2003
81,7,Juventude,Guarani,1x1,Empate, Alfredo Jaconi,SP,2003
82,7,Coritiba,Parana,2x1,Coritiba, Couto Pereira,PR,2003
83,7,Criciuma,Santos,1x3,Santos, Heriberto Hulse,SP,2003
84,7,Fluminense,Vasco,0x0,Empate, Maracanã,RJ,2003
85,8,Goias,Flamengo,1x1,Empate, Serra Dourada,RJ,2003
86,8,Santos,Cruzeiro,0x2,Cruzeiro, Vila Belmiro,MG,2003
87,8,Parana,Ponte Preta,3x2,Parana, Pinheirão,SP,2003
88,8,Corinthians,Criciuma,3x0,Corinthians, Pacaembu,SC,2003
89,8,Vasco,Bahia,1x1,Empate, São Januário,BA,2003
90,8,Paysandu,Fluminense,2x2,Empate, Mangueirão,RJ,2003
91,8,Atletico-MG,Sao Paulo,2x2,Empate, Mineirão,SP,2003
92,8,Vitoria,Fortaleza,2x1,Vitoria, Barradão,CE,2003
93,8,Guarani,Internacional,3x0,Guarani, Brinco de Ouro,RS,2003
94,8,Athletico-PR,Juventude,2x0,Athletico-PR, Arena da Baixada,RS,2003
95,8,Figueirense,Sao Caetano,3x0,Figueirense, Orlando Scarpelli,SP,2003
96,8,Gremio,Coritiba,1x0,Gremio, Olímpico,PR,2003
97,9,Fluminense,Figueirense,3x0,Fluminense, Maracanã,SC,2003
98,9,Sao Caetano,Atletico-MG,2x0,Sao Caetano, Anacleto Campanella,MG,2003
99,9,Juventude,Santos,1x1,Empate, Alfredo Jaconi,SP,2003
100,9,Bahia,Paysandu,2x0,Bahia, Fonte Nova,PA,2003
101,9,Internacional,Athletico-PR,1x1,Empate, Beira Rio,PR,2003
102,9,Coritiba,Vasco,1x1,Empate, Couto Pereira,RJ,2003
103,9,Cruzeiro,Corinthians,1x1,Empate, Mineirão,SP,2003
104,9,Fortaleza,Goias,1x0,Fortaleza, Castelão,GO,2003
105,9,Ponte Preta,Gremio,2x1,Ponte Preta, Moisés Lucarelli,RS,2003
106,9,Criciuma,Vitoria,1x1,Empate, Heriberto Hulse,BA,2003
107,9,Flamengo,Guarani,1x1,Empate, Maracanã,SP,2003
108,9,Sao Paulo,Parana,2x0,Sao Paulo, Morumbi,PR,2003
109,10,Atletico-MG,Fluminense,3x0,Atletico-MG,  Independência,RJ,2003
110,10,Parana,Sao Caetano,1x1,Empate, Pinheirão,SP,2003
111,10,Corinthians,Juventude,3x0,Corinthians, Pacaembu,RS,2003
112,10,Vasco,Ponte Preta,1x0,Vasco, São Januário,SP,2003
113,10,Athletico-PR,Flamengo,4x1,Athletico-PR, Arena da Baixada,RJ,2003
114,10,Paysandu,Coritiba,1x3,Coritiba, Mangueirão,PR,2003
115,10,Goias,Criciuma,0x2,Criciuma, Serra Dourada,SC,2003
116,10,Gremio,Sao Paulo,1x2,Sao Paulo, Olímpico,SP,2003
117,10,Guarani,Fortaleza,2x1,Guarani, Brinco de Ouro,CE,2003
118,10,Figueirense,Bahia,1x0,Figueirense, Orlando Scarpelli,BA,2003
119,10,Vitoria,Cruzeiro,2x1,Vitoria, Barradão,MG,2003
120,10,Santos,Internacional,2x1,Santos, Vila Belmiro,RS,2003
121,11,Fluminense,Athletico-PR,2x1,Fluminense,  Édson Passos,PR,2003
122,11,Cruzeiro,Criciuma,2x0,Cruzeiro, Mineirão,SC,2003
123,11,Coritiba,Guarani,3x2,Coritiba, Couto Pereira,SP,2003
124,11,Ponte Preta,Sao Caetano,0x0,Empate, Moisés Lucarelli,SP,2003
125,11,Internacional,Paysandu,2x1,Internacional, Beira Rio,PA,2003
126,11,Parana,Flamengo,6x2,Parana, Pinheirão,RJ,2003
127,11,Bahia,Goias,2x1,Bahia, Fonte Nova,GO,2003
128,11,Fortaleza,Juventude,3x1,Fortaleza, Castelão,RS,2003
129,11,Figueirense,Gremio,2x1,Figueirense, Orlando Scarpelli,RS,2003
130,11,Santos,Sao Paulo,3x2,Santos, Vila Belmiro,SP,2003
131,11,Corinthians,Vitoria,4x0,Corinthians, Pacaembu,BA,2003
132,11,Vasco,Atletico-MG,2x2,Empate, São Januário,MG,2003
133,12,Vitoria,Fluminense,2x1,Vitoria, Barradão,RJ,2003
134,12,Guarani,Santos,1x2,Santos, Brinco de Ouro,SP,2003
135,12,Gremio,Fortaleza,3x1,Gremio, Olímpico,CE,2003
136,12,Atletico-MG,Figueirense,1x1,Empate,  Independência,SC,2003
137,12,Paysandu,Parana,3x0,Paysandu, Mangueirão,PR,2003
138,12,Juventude,Vasco,0x0,Empate, Alfredo Jaconi,RJ,2003
139,12,Athletico-PR,Ponte Preta,4x2,Athletico-PR, Arena da Baixada,SP,2003
140,12,Goias,Coritiba,1x2,Coritiba, Serra Dourada,PR,2003
141,12,Sao Caetano,Corinthians,1x0,Sao Caetano, Anacleto Campanella,SP,2003
142,12,Criciuma,Internacional,1x0,Criciuma, Heriberto Hulse,RS,2003
143,12,Sao Paulo,Bahia,2x2,Empate, Morumbi,BA,2003
145,13,Fluminense,Goias,2x3,Goias, Maracanã,GO,2003
146,13,Ponte Preta,Guarani,0x2,Guarani, Moisés Lucarelli,SP,2003
147,13,Coritiba,Athletico-PR,2x0,Coritiba, Couto Pereira,PR,2003
148,13,Corinthians,Sao Paulo,1x2,Sao Paulo, Morumbi,SP,2003
149,13,Fortaleza,Paysandu,1x2,Paysandu, Presidente Vargas,PA,2003
150,13,Parana,Juventude,1x2,Juventude, Pinheirão,RS,2003
151,13,Gremio,Internacional,0x0,Empate, Olímpico,RS,2003
152,13,Santos,Sao Caetano,0x1,Sao Caetano, Vila Belmiro,SP,2003
153,13,Criciuma,Figueirense,1x0,Criciuma, Heriberto Hulse,SC,2003
154,13,Bahia,Vitoria,2x1,Bahia, Fonte Nova,BA,2003
155,13,Vasco,Flamengo,1x2,Flamengo, Maracanã,RJ,2003
156,13,Cruzeiro,Atletico-MG,0x0,Empate, Mineirão,MG,2003
157,14,Bahia,Coritiba,2x2,Empate, Fonte Nova,PR,2003
158,14,Vasco,Criciuma,2x0,Vasco, São Januário,SC,2003
159,14,Atletico-MG,Gremio,3x2,Atletico-MG, Mineirão,RS,2003
160,14,Internacional,Parana,2x1,Internacional, Beira Rio,PR,2003
161,14,Sao Paulo,Goias,1x0,Sao Paulo, Morumbi,GO,2003
162,14,Paysandu,Flamengo,2x2,Empate, Mangueirão,RJ,2003
163,14,Ponte Preta,Corinthians,3x3,Empate, Moisés Lucarelli,SP,2003
164,14,Sao Caetano,Vitoria,2x1,Sao Caetano, Anacleto Campanella,BA,2003
165,14,Figueirense,Fortaleza,2x2,Empate, Orlando Scarpelli,CE,2003
166,14,Juventude,Cruzeiro,0x1,Cruzeiro, Alfredo Jaconi,MG,2003
167,14,Fluminense,Guarani,5x2,Fluminense, Maracanã,SP,2003
168,15,Fortaleza,Vasco,0x1,Vasco, Castelão,RJ,2003
169,15,Coritiba,Sao Caetano,2x0,Coritiba, Couto Pereira,SP,2003
170,15,Gremio,Juventude,1x4,Juventude, Olímpico,RS,2003
171,15,Santos,Bahia,4x0,Santos, Vila Belmiro,BA,2003
172,15,Flamengo,Figueirense,0x2,Figueirense, Maracanã,SC,2003
173,15,Corinthians,Fluminense,1x0,Corinthians, Pacaembu,RJ,2003
174,15,Guarani,Sao Paulo,0x1,Sao Paulo, Brinco de Ouro,SP,2003
175,15,Criciuma,Paysandu,2x0,Criciuma, Heriberto Hulse,PA,2003
176,15,Vitoria,Athletico-PR,1x0,Vitoria, Barradão,PR,2003
177,15,Cruzeiro,Internacional,3x2,Cruzeiro, Mineirão,RS,2003
178,15,Parana,Atletico-MG,1x1,Empate, Pinheirão,MG,2003
181,16,Vasco,Parana,1x4,Parana, São Januário,PR,2003
182,16,Sao Paulo,Sao Caetano,1x1,Empate, Morumbi,SP,2003
183,16,Figueirense,Cruzeiro,1x0,Figueirense, Orlando Scarpelli,MG,2003
184,16,Atletico-MG,Paysandu,3x2,Atletico-MG,  Independência,PA,2003
185,16,Gremio,Flamengo,2x0,Gremio, Olímpico,RJ,2003
186,16,Guarani,Goias,3x2,Guarani, Brinco de Ouro,GO,2003
187,16,Athletico-PR,Corinthians,3x1,Athletico-PR, Arena da Baixada,SP,2003
188,16,Juventude,Internacional,1x1,Empate, Alfredo Jaconi,RS,2003
189,16,Fortaleza,Criciuma,0x1,Criciuma, Presidente Vargas,SC,2003
190,16,Vitoria,Ponte Preta,1x4,Ponte Preta, Barradão,SP,2003
191,16,Santos,Coritiba,3x1,Santos, Vila Belmiro,PR,2003
192,16,Fluminense,Bahia,1x0,Fluminense, Maracanã,BA,2003
193,17,Sao Caetano,Athletico-PR,0x0,Empate, Anacleto Campanella,PR,2003
194,17,Corinthians,Santos,1x1,Empate, Morumbi,SP,2003
195,17,Cruzeiro,Fortaleza,2x0,Cruzeiro, Mineirão,CE,2003
196,17,Bahia,Guarani,2x0,Bahia, Fonte Nova,SP,2003
197,17,Paysandu,Figueirense,1x0,Paysandu, Mangueirão,SC,2003
198,17,Goias,Vitoria,1x1,Empate, Serra Dourada,BA,2003
199,17,Flamengo,Juventude,2x1,Flamengo, Maracanã,RS,2003
200,17,Internacional,Vasco,2x1,Internacional, Beira Rio,RJ,2003
201,17,Coritiba,Sao Paulo,0x2,Sao Paulo, Couto Pereira,SP,2003
202,17,Ponte Preta,Fluminense,3x0,Ponte Preta, Moisés Lucarelli,RJ,2003
203,17,Criciuma,Atletico-MG,1x0,Criciuma, Heriberto Hulse,MG,2003
204,17,Parana,Gremio,3x1,Parana, Pinheirão,RS,2003
205,18,Athletico-PR,Goias,0x0,Empate, Arena da Baixada,GO,2003
206,18,Fortaleza,Internacional,3x0,Fortaleza, Castelão,RS,2003
207,18,Vasco,Paysandu,0x2,Paysandu, São Januário,PA,2003
208,18,Atletico-MG,Flamengo,1x0,Atletico-MG, Mineirão,RJ,2003
209,18,Ponte Preta,Bahia,1x0,Ponte Preta, Moisés Lucarelli,BA,2003
210,18,Corinthians,Coritiba,0x1,Coritiba, Morumbi,PR,2003
211,18,Criciuma,Juventude,3x0,Criciuma, Heriberto Hulse,RS,2003
212,18,Figueirense,Parana,4x2,Figueirense, Orlando Scarpelli,PR,2003
213,18,Sao Caetano,Guarani,0x2,Guarani, Anacleto Campanella,SP,2003
214,18,Fluminense,Sao Paulo,1x3,Sao Paulo, Maracanã,SP,2003
215,18,Gremio,Cruzeiro,0x1,Cruzeiro, Olímpico,MG,2003
216,18,Vitoria,Santos,2x0,Vitoria, Barradão,SP,2003
217,19,Flamengo,Fortaleza,0x2,Fortaleza, Maracanã,CE,2003
218,19,Juventude,Figueirense,1x2,Figueirense, Alfredo Jaconi,SC,2003
219,19,Bahia,Sao Caetano,0x0,Empate, Fonte Nova,SP,2003
220,19,Coritiba,Fluminense,3x0,Coritiba, Couto Pereira,RJ,2003
221,19,Guarani,Vitoria,2x2,Empate, Brinco de Ouro,BA,2003
222,19,Internacional,Atletico-MG,3x3,Empate, Beira Rio,MG,2003
223,19,Santos,Ponte Preta,2x1,Santos, Vila Belmiro,SP,2003
224,19,Cruzeiro,Vasco,4x1,Cruzeiro, Mineirão,RJ,2003
225,19,Goias,Corinthians,1x1,Empate, Serra Dourada,SP,2003
226,19,Paysandu,Gremio,1x1,Empate, Mangueirão,RS,2003
227,19,Sao Paulo,Athletico-PR,2x0,Sao Paulo, Morumbi,PR,2003
229,20,Fluminense,Santos,1x4,Santos,  Giulite Coutinho,SP,2003
230,20,Corinthians,Guarani,1x0,Corinthians, Pacaembu,SP,2003
231,20,Fortaleza,Atletico-MG,4x3,Fortaleza, Castelão,MG,2003
232,20,Internacional,Figueirense,3x0,Internacional, Beira Rio,SC,2003
233,20,Juventude,Paysandu,2x0,Juventude, Alfredo Jaconi,PA,2003
234,20,Athletico-PR,Bahia,2x1,Athletico-PR, Arena da Baixada,BA,2003
235,20,Ponte Preta,Coritiba,1x1,Empate, Moisés Lucarelli,PR,2003
236,20,Criciuma,Flamengo,4x3,Criciuma, Heriberto Hulse,RJ,2003
237,20,Goias,Sao Caetano,2x1,Goias, Serra Dourada,SP,2003
238,20,Vitoria,Sao Paulo,0x2,Sao Paulo, Barradão,SP,2003
239,20,Cruzeiro,Parana,5x1,Cruzeiro, Mineirão,PR,2003
240,20,Vasco,Gremio,2x0,Vasco, São Januário,RS,2003
241,21,Parana,Fortaleza,4x1,Parana, Pinheirão,CE,2003
242,21,Atletico-MG,Juventude,2x1,Atletico-MG, Mineirão,RS,2003
243,21,Paysandu,Cruzeiro,3x0,Paysandu, Mangueirão,MG,2003
244,21,Guarani,Athletico-PR,1x0,Guarani, Brinco de Ouro,PR,2003
245,21,Figueirense,Vasco,0x0,Empate, Orlando Scarpelli,RJ,2003
246,21,Santos,Goias,3x3,Empate, Vila Belmiro,GO,2003
247,21,Bahia,Corinthians,0x0,Empate, Fonte Nova,SP,2003
248,21,Coritiba,Vitoria,1x1,Empate, Couto Pereira,BA,2003
249,21,Gremio,Criciuma,0x2,Criciuma, Olímpico,SC,2003
250,21,Flamengo,Internacional,2x1,Flamengo, Maracanã,RS,2003
251,21,Sao Caetano,Fluminense,2x0,Sao Caetano, Anacleto Campanella,RJ,2003
252,21,Sao Paulo,Ponte Preta,1x2,Ponte Preta, Morumbi,SP,2003
253,22,Santos,Vasco,2x1,Santos, Vila Belmiro,RJ,2003
254,22,Goias,Atletico-MG,1x1,Empate, Serra Dourada,MG,2003
255,22,Athletico-PR,Paysandu,1x1,Empate, Arena da Baixada,PA,2003
256,22,Fortaleza,Ponte Preta,2x3,Ponte Preta, Castelão,SP,2003
257,22,Juventude,Fluminense,2x1,Juventude, Alfredo Jaconi,RJ,2003
258,22,Flamengo,Sao Paulo,1x1,Empate, Maracanã,SP,2003
259,22,Criciuma,Coritiba,2x3,Coritiba, Heriberto Hulse,PR,2003
260,22,Guarani,Figueirense,3x0,Guarani, Brinco de Ouro,SC,2003
261,22,Vitoria,Parana,0x3,Parana, Barradão,PR,2003
262,22,Corinthians,Gremio,1x0,Corinthians, Pacaembu,RS,2003
263,22,Cruzeiro,Bahia,5x2,Cruzeiro, Mineirão,BA,2003
264,22,Internacional,Sao Caetano,0x0,Empate, Beira Rio,SP,2003
179,15,Athletico-PR,Santos,0x2,Santos, Arena da Baixada,SP,2003
180,15,Goias,Ponte Preta,0x0,Empate, Serra Dourada,SP,2003
228,19,Parana,Criciuma,2x1,Parana, Pinheirão,SC,2003
265,23,Fluminense,Cruzeiro,2x2,Empate,  Giulite Coutinho,MG,2003
266,23,Gremio,Santos,2x0,Gremio, Olímpico,SP,2003
267,23,Sao Paulo,Internacional,0x2,Internacional, Morumbi,RS,2003
268,23,Sao Caetano,Juventude,1x1,Empate, Anacleto Campanella,RS,2003
269,23,Figueirense,Goias,0x1,Goias, Orlando Scarpelli,GO,2003
270,23,Parana,Corinthians,1x1,Empate, Arena da Baixada,SP,2003
271,23,Paysandu,Guarani,6x1,Paysandu, Mangueirão,SP,2003
272,23,Coritiba,Fortaleza,1x1,Empate, Couto Pereira,CE,2003
273,23,Bahia,Criciuma,2x2,Empate, Fonte Nova,SC,2003
274,23,Ponte Preta,Flamengo,1x1,Empate, Moisés Lucarelli,RJ,2003
275,23,Vasco,Athletico-PR,2x1,Vasco, São Januário,PR,2003
276,23,Atletico-MG,Vitoria,1x0,Atletico-MG, Mineirão,BA,2003
277,24,Vitoria,Paysandu,1x1,Empate, Barradão,PA,2003
278,24,Athletico-PR,Parana,1x0,Athletico-PR, Arena da Baixada,PR,2003
279,24,Criciuma,Sao Caetano,0x1,Sao Caetano, Heriberto Hulse,SP,2003
280,24,Fortaleza,Fluminense,3x1,Fortaleza, Castelão,RJ,2003
281,24,Juventude,Ponte Preta,0x0,Empate, Alfredo Jaconi,SP,2003
282,24,Santos,Atletico-MG,3x3,Empate, Vila Belmiro,MG,2003
283,24,Goias,Vasco,3x1,Goias, Serra Dourada,RJ,2003
284,24,Cruzeiro,Sao Paulo,1x1,Empate, Mineirão,SP,2003
285,24,Flamengo,Bahia,6x0,Flamengo, Maracanã,BA,2003
286,24,Corinthians,Figueirense,0x1,Figueirense, Pacaembu,SC,2003
287,24,Guarani,Gremio,2x0,Guarani, Brinco de Ouro,RS,2003
288,24,Internacional,Coritiba,1x0,Internacional, Beira Rio,PR,2003
289,25,Fluminense,Criciuma,1x1,Empate, Maracanã,SC,2003
290,25,Sao Caetano,Cruzeiro,2x0,Sao Caetano, Anacleto Campanella,MG,2003
291,25,Parana,Santos,1x2,Santos, Couto Pereira,SP,2003
292,25,Sao Paulo,Juventude,3x1,Sao Paulo, Morumbi,RS,2003
293,25,Paysandu,Goias,2x2,Empate, Mangueirão,GO,2003
294,25,Ponte Preta,Internacional,1x4,Internacional, Moisés Lucarelli,RS,2003
295,25,Coritiba,Flamengo,5x0,Coritiba, Couto Pereira,RJ,2003
296,25,Atletico-MG,Corinthians,2x3,Corinthians, Mineirão,SP,2003
297,25,Figueirense,Vitoria,1x2,Vitoria, Orlando Scarpelli,BA,2003
298,25,Bahia,Fortaleza,1x0,Bahia, Fonte Nova,CE,2003
299,25,Vasco,Guarani,0x0,Empate, São Januário,SP,2003
300,25,Gremio,Athletico-PR,1x1,Empate, Olímpico,PR,2003
301,26,Vasco,Vitoria,1x0,Vasco, São Januário,BA,2003
302,26,Bahia,Internacional,1x3,Internacional, Fonte Nova,RS,2003
303,26,Figueirense,Santos,1x0,Figueirense, Orlando Scarpelli,SP,2003
304,26,Coritiba,Juventude,1x0,Coritiba, Couto Pereira,RS,2003
305,26,Atletico-MG,Athletico-PR,1x2,Athletico-PR, Mineirão,PR,2003
306,26,Sao Paulo,Criciuma,0x0,Empate,  Santa Cruz,SC,2003
307,26,Paysandu,Corinthians,2x2,Empate, Mangueirão,SP,2003
308,26,Sao Caetano,Fortaleza,3x0,Sao Caetano, Anacleto Campanella,CE,2003
309,26,Ponte Preta,Cruzeiro,1x3,Cruzeiro, Moisés Lucarelli,MG,2003
310,26,Parana,Guarani,0x0,Empate, Pinheirão,SP,2003
311,26,Gremio,Goias,0x1,Goias, Olímpico,GO,2003
312,26,Fluminense,Flamengo,0x1,Flamengo, Maracanã,RJ,2003
313,27,Flamengo,Sao Caetano,1x0,Flamengo, Maracanã,SP,2003
314,27,Goias,Parana,1x0,Goias, Serra Dourada,PR,2003
315,27,Juventude,Bahia,1x0,Juventude, Alfredo Jaconi,BA,2003
316,27,Cruzeiro,Coritiba,2x2,Empate, Mineirão,PR,2003
317,27,Athletico-PR,Figueirense,1x2,Figueirense, Arena da Baixada,SC,2003
318,27,Vitoria,Gremio,4x1,Vitoria, Barradão,RS,2003
319,27,Santos,Paysandu,2x0,Santos, Vila Belmiro,PA,2003
320,27,Fortaleza,Sao Paulo,0x2,Sao Paulo, Castelão,SP,2003
321,27,Corinthians,Vasco,0x0,Empate, Pacaembu,RJ,2003
322,27,Internacional,Fluminense,0x1,Fluminense, Beira Rio,RJ,2003
323,27,Guarani,Atletico-MG,2x2,Empate, Brinco de Ouro,MG,2003
324,27,Criciuma,Ponte Preta,3x0,Criciuma, Heriberto Hulse,SP,2003
325,28,Santos,Flamengo,2x1,Santos, Vila Belmiro,RJ,2003
326,28,Athletico-PR,Fortaleza,3x1,Athletico-PR, Arena da Baixada,CE,2003
327,28,Goias,Cruzeiro,1x0,Goias, Serra Dourada,MG,2003
328,28,Gremio,Sao Caetano,0x0,Empate, Olímpico,SP,2003
329,28,Vasco,Sao Paulo,3x2,Vasco, São Januário,SP,2003
330,28,Paysandu,Ponte Preta,3x2,Paysandu, Mangueirão,SP,2003
331,28,Parana,Fluminense,2x0,Parana,  Willie Davids,RJ,2003
332,28,Vitoria,Juventude,3x0,Vitoria, Barradão,RS,2003
333,28,Guarani,Criciuma,1x0,Guarani, Brinco de Ouro,SC,2003
334,28,Figueirense,Coritiba,1x2,Coritiba, Orlando Scarpelli,PR,2003
335,28,Corinthians,Internacional,3x1,Corinthians, Pacaembu,RS,2003
336,28,Atletico-MG,Bahia,1x0,Atletico-MG, Mineirão,BA,2003
337,29,Fluminense,Gremio,2x0,Fluminense,  Municipal Juiz de Fora,RS,2003
338,29,Fortaleza,Santos,0x0,Empate, Castelão,SP,2003
339,29,Internacional,Vitoria,0x1,Vitoria, Beira Rio,BA,2003
340,29,Cruzeiro,Guarani,4x1,Cruzeiro, Mineirão,SP,2003
341,29,Sao Paulo,Paysandu,1x0,Sao Paulo,  Benedito Teixeira,PA,2003
342,29,Sao Caetano,Vasco,1x0,Sao Caetano, Anacleto Campanella,RJ,2003
343,29,Juventude,Goias,0x2,Goias, Alfredo Jaconi,GO,2003
344,29,Flamengo,Corinthians,1x0,Flamengo, Maracanã,SP,2003
345,29,Bahia,Parana,4x2,Bahia, Fonte Nova,PR,2003
346,29,Ponte Preta,Figueirense,1x1,Empate, Moisés Lucarelli,SC,2003
347,29,Criciuma,Athletico-PR,2x0,Criciuma, Heriberto Hulse,PR,2003
348,29,Coritiba,Atletico-MG,2x2,Empate, Couto Pereira,MG,2003
349,30,Santos,Criciuma,5x2,Santos, Vila Belmiro,SC,2003
350,30,Athletico-PR,Cruzeiro,1x4,Cruzeiro, Arena da Baixada,MG,2003
351,30,Gremio,Bahia,1x1,Empate, Olímpico,BA,2003
352,30,Corinthians,Fortaleza,2x0,Corinthians, Pacaembu,CE,2003
353,30,Vitoria,Flamengo,1x0,Vitoria, Barradão,RJ,2003
